semaforo,motivo,detected_at,entidad,fuente_url,document_url,status,priority,aplica_sura,link_status,link_error,notes
AMARILLO,"Validado, falta consolidar",2026-05-02 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_054.pdf,validado,alta,si,ok,,Caso de prueba 54
AMARILLO,Pendiente de revisión manual,2026-05-03 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_053.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 53
AMARILLO,"Validado, falta consolidar",2026-05-04 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_022.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 22
AMARILLO,Pendiente de revisión manual,2026-05-04 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_052.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 52
AMARILLO,Pendiente de revisión manual,2026-05-06 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_020.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 20
AMARILLO,"Validado, falta consolidar",2026-05-06 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_050.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 50
AMARILLO,Pendiente de revisión manual,2026-05-07 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_049.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 49
AMARILLO,"Validado, falta consolidar",2026-05-08 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_018.pdf,validado,alta,si,ok,,Caso de prueba 18
AMARILLO,"Validado, falta consolidar",2026-05-08 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_078.pdf,validado,alta,si,ok,,Caso de prueba 78
AMARILLO,Pendiente de revisión manual,2026-05-09 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_017.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 17
AMARILLO,Pendiente de revisión manual,2026-05-09 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_077.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 77
AMARILLO,Pendiente de revisión manual,2026-05-10 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_016.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 16
AMARILLO,"Validado, falta consolidar",2026-05-10 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_046.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 46
AMARILLO,Pendiente de revisión manual,2026-05-10 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_076.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 76
AMARILLO,"Validado, falta consolidar",2026-05-12 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_014.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 14
AMARILLO,Pendiente de revisión manual,2026-05-12 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_044.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 44
AMARILLO,"Validado, falta consolidar",2026-05-12 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_074.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 74
AMARILLO,Pendiente de revisión manual,2026-05-13 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_013.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 13
AMARILLO,Pendiente de revisión manual,2026-05-13 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_073.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 73
AMARILLO,"Validado, falta consolidar",2026-05-14 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_042.pdf,validado,alta,si,ok,,Caso de prueba 42
AMARILLO,Pendiente de revisión manual,2026-05-15 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_041.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 41
AMARILLO,"Validado, falta consolidar",2026-05-16 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_010.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 10
AMARILLO,Pendiente de revisión manual,2026-05-16 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_040.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 40
AMARILLO,"Validado, falta consolidar",2026-05-16 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_070.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 70
AMARILLO,Pendiente de revisión manual,2026-05-18 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_008.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 8
AMARILLO,"Validado, falta consolidar",2026-05-18 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_038.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 38
AMARILLO,Pendiente de revisión manual,2026-05-18 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_068.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 68
AMARILLO,Pendiente de revisión manual,2026-05-19 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_037.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 37
AMARILLO,"Validado, falta consolidar",2026-05-20 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_006.pdf,validado,alta,si,ok,,Caso de prueba 6
AMARILLO,"Validado, falta consolidar",2026-05-20 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_066.pdf,validado,alta,si,ok,,Caso de prueba 66
AMARILLO,Pendiente de revisión manual,2026-05-21 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_005.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 5
AMARILLO,Pendiente de revisión manual,2026-05-21 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_065.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 65
AMARILLO,Pendiente de revisión manual,2026-05-22 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_004.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 4
AMARILLO,"Validado, falta consolidar",2026-05-22 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_034.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 34
AMARILLO,Pendiente de revisión manual,2026-05-22 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_064.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 64
AMARILLO,"Validado, falta consolidar",2026-05-24 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_002.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 2
AMARILLO,Pendiente de revisión manual,2026-05-24 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_032.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 32
AMARILLO,"Validado, falta consolidar",2026-05-24 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_062.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 62
AMARILLO,Pendiente de revisión manual,2026-05-25 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_001.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 1
AMARILLO,Pendiente de revisión manual,2026-05-25 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_061.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 61
AMARILLO,"Validado, falta consolidar",2026-05-26 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_030.pdf,validado,alta,si,ok,,Caso de prueba 30
CONSOLIDADO,Integrado en matriz de obligaciones,2026-04-27 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_059.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 59
CONSOLIDADO,Integrado en matriz de obligaciones,2026-04-29 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_027.pdf,consolidado,alta,si,ok,,Caso de prueba 27
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-01 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_055.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 55
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-03 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_023.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 23
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-05 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_051.pdf,consolidado,alta,si,ok,,Caso de prueba 51
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-07 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_019.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 19
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-07 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_079.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 79
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-09 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_047.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 47
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-11 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_015.pdf,consolidado,alta,si,ok,,Caso de prueba 15
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-11 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_075.pdf,consolidado,alta,si,ok,,Caso de prueba 75
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-13 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_043.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 43
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-15 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_011.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 11
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-15 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_071.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 71
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-17 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_039.pdf,consolidado,alta,si,ok,,Caso de prueba 39
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-19 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_007.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 7
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-19 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_067.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 67
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-21 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_035.pdf,consolidado,baja,parcial,http_404,Error de conexión,Caso de prueba 35
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-23 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_003.pdf,consolidado,alta,si,ok,,Caso de prueba 3
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-23 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_063.pdf,consolidado,alta,si,ok,,Caso de prueba 63
CONSOLIDADO,Integrado en matriz de obligaciones,2026-05-25 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_031.pdf,consolidado,media,no,timeout,Error de conexión,Caso de prueba 31
